Time [s], Analyzer Name, Decoded Protocol Result
15.820637906000000,Async Serial,0x00 (framing error)
16.332817848000001,Async Serial,0x20
16.332913181999999,Async Serial,0x01
16.333008516000000,Async Serial,0x01
16.333121181999999,Async Serial,0x01
16.333242515999999,Async Serial,0x00
17.095626167999999,Async Serial,0x00
17.095721502000000,Async Serial,0x17
17.095816836000001,Async Serial,0x03
17.095912168000002,Async Serial,0x07
17.096007501999999,Async Serial,0x00
17.096111504000000,Async Serial,0x15
17.096206836000000,Async Serial,0x02
17.096302170000001,Async Serial,0x01
17.096397503999999,Async Serial,0x06
17.096492838000000,Async Serial,0x11
17.096588172000001,Async Serial,0x07
17.096683506000002,Async Serial,0xE4
17.096787505999998,Async Serial,0xBA
17.096882839999999,Async Serial,0x94
17.096978174000000,Async Serial,0xC3
17.097073508000001,Async Serial,0xC9
17.097168841999999,Async Serial,0xB7
17.097264173999999,Async Serial,0xCD
17.097359508000000,Async Serial,0xB0
17.097454842000001,Async Serial,0x9B
17.097550175999999,Async Serial,0x48
17.097645510000000,Async Serial,0x7A
17.097740844000000,Async Serial,0x43
17.097836176000001,Async Serial,0x8A
17.097931509999999,Async Serial,0xE5
17.098026844000000,Async Serial,0x5A
17.098122178000001,Async Serial,0x19
17.100332185999999,Async Serial,0x20
17.100427520000000,Async Serial,0x21
17.100522854000001,Async Serial,0x03
17.100618187999999,Async Serial,0x07
17.100713522000000,Async Serial,0x01
17.100808856000000,Async Serial,0x1F
17.100904188000001,Async Serial,0x1E
17.100999521999999,Async Serial,0xFF
17.101094856000000,Async Serial,0x44
17.101190190000001,Async Serial,0x37
17.101285524000001,Async Serial,0xDF
17.101380857999999,Async Serial,0x01
17.101476190000000,Async Serial,0xFF
17.101571524000001,Async Serial,0xFF
17.101666858000002,Async Serial,0xFF
17.101762191999999,Async Serial,0xFF
17.101857526000000,Async Serial,0xFF
17.101952860000001,Async Serial,0xFF
17.102048194000002,Async Serial,0x10
17.102143525999999,Async Serial,0x20
17.102247527999999,Async Serial,0x20
17.102342860000000,Async Serial,0x20
17.102438194000001,Async Serial,0x20
17.102533527999999,Async Serial,0x20
17.102628862000000,Async Serial,0x53
17.102724196000000,Async Serial,0x49
17.102819530000001,Async Serial,0x4C
17.102914863999999,Async Serial,0x49
17.103010198000000,Async Serial,0x43
17.103105530000001,Async Serial,0x4F
17.103200864000002,Async Serial,0x4E
17.103296197999999,Async Serial,0x20
17.103391532000000,Async Serial,0x4C
17.103486866000001,Async Serial,0x41
17.103582200000002,Async Serial,0x42
17.103677533999999,Async Serial,0x20
17.103772866000000,Async Serial,0x20
17.104700204000000,Async Serial,0x20
17.104795538000001,Async Serial,0x05
17.104890871999999,Async Serial,0x03
17.104986203999999,Async Serial,0x04
17.105081538000000,Async Serial,0x00
17.105176872000001,Async Serial,0x08
17.105272205999999,Async Serial,0x00
17.105367540000000,Async Serial,0x08
17.105462874000001,Async Serial,0x07
17.106364209999999,Async Serial,0x20
17.106459544000000,Async Serial,0x02
17.106554878000001,Async Serial,0x03
17.106650212000002,Async Serial,0x01
17.106745545999999,Async Serial,0x04
17.106840878000000,Async Serial,0x02
17.107750882000001,Async Serial,0x20
17.107846215999999,Async Serial,0x00
17.107941550000000,Async Serial,0x01
17.108036884000001,Async Serial,0x03
